total_numeric,sexo_fct,nacionalidad_fct,grupo_quinquenal_de_edad_fct,periodo_fct,raza
981989,Hombres,Española,De 15 a 19 años,1 de enero de 2013,Elfo
988231,Hombres,Española,De 15 a 19 años,1 de julio de 2012,Ent
993289,Hombres,Española,De 15 a 19 años,1 de enero de 2012,Orco
1000240,Hombres,Española,De 15 a 19 años,1 de julio de 2011,Ent
1006748,Hombres,Española,De 15 a 19 años,1 de enero de 2011,Elfo
1013908,Hombres,Española,De 15 a 19 años,1 de julio de 2010,Orco
1021166,Hombres,Española,De 15 a 19 años,1 de enero de 2010,Hobbit
1029235,Hombres,Española,De 15 a 19 años,1 de julio de 2009,Ent
1038039,Hombres,Española,De 15 a 19 años,1 de enero de 2009,Ent
1044115,Hombres,Española,De 15 a 19 años,1 de julio de 2008,Hobbit
1049988,Hombres,Española,De 15 a 19 años,1 de enero de 2008,Enano
1054013,Hombres,Española,De 15 a 19 años,1 de julio de 2007,Elfo
1058471,Hombres,Española,De 15 a 19 años,1 de enero de 2007,Enano
1066344,Hombres,Española,De 15 a 19 años,1 de julio de 2006,Troll
1074608,Hombres,Española,De 15 a 19 años,1 de enero de 2006,Ent
1086644,Hombres,Española,De 15 a 19 años,1 de julio de 2005,Elfo
1098925,Hombres,Española,De 15 a 19 años,1 de enero de 2005,Enano
1114154,Hombres,Española,De 15 a 19 años,1 de julio de 2004,Ent
1129414,Hombres,Española,De 15 a 19 años,1 de enero de 2004,Orco
1147367,Hombres,Española,De 15 a 19 años,1 de julio de 2003,Hobbit
1165677,Hombres,Española,De 15 a 19 años,1 de enero de 2003,Ent
1189486,Hombres,Española,De 15 a 19 años,1 de julio de 2002,Humano
1213708,Hombres,Española,De 15 a 19 años,1 de enero de 2002,Ent
1065418,Mujeres,Española,De 15 a 19 años,1 de enero de 2021,Elfo
1055428,Mujeres,Española,De 15 a 19 años,1 de julio de 2020,Hobbit
1046698,Mujeres,Española,De 15 a 19 años,1 de enero de 2020,Enano
1035197,Mujeres,Española,De 15 a 19 años,1 de julio de 2019,Orco
1024134,Mujeres,Española,De 15 a 19 años,1 de enero de 2019,Ent
1009669,Mujeres,Española,De 15 a 19 años,1 de julio de 2018,Hobbit
995766,Mujeres,Española,De 15 a 19 años,1 de enero de 2018,Elfo
987754,Mujeres,Española,De 15 a 19 años,1 de julio de 2017,Hobbit
979519,Mujeres,Española,De 15 a 19 años,1 de enero de 2017,Ent
970246,Mujeres,Española,De 15 a 19 años,1 de julio de 2016,Humano
960540,Mujeres,Española,De 15 a 19 años,1 de enero de 2016,Orco
951676,Mujeres,Española,De 15 a 19 años,1 de julio de 2015,Hobbit
942605,Mujeres,Española,De 15 a 19 años,1 de enero de 2015,Ent
936343,Mujeres,Española,De 15 a 19 años,1 de julio de 2014,Ent
928734,Mujeres,Española,De 15 a 19 años,1 de enero de 2014,Hobbit
929678,Mujeres,Española,De 15 a 19 años,1 de julio de 2013,Humano
930845,Mujeres,Española,De 15 a 19 años,1 de enero de 2013,Elfo
936595,Mujeres,Española,De 15 a 19 años,1 de julio de 2012,Elfo
941385,Mujeres,Española,De 15 a 19 años,1 de enero de 2012,Humano
946999,Mujeres,Española,De 15 a 19 años,1 de julio de 2011,Ent
952136,Mujeres,Española,De 15 a 19 años,1 de enero de 2011,Ent
959305,Mujeres,Española,De 15 a 19 años,1 de julio de 2010,Ent
966592,Mujeres,Española,De 15 a 19 años,1 de enero de 2010,Enano
974407,Mujeres,Española,De 15 a 19 años,1 de julio de 2009,Ent
982994,Mujeres,Española,De 15 a 19 años,1 de enero de 2009,Ent
988863,Mujeres,Española,De 15 a 19 años,1 de julio de 2008,Humano
994395,Mujeres,Española,De 15 a 19 años,1 de enero de 2008,Humano
997949,Mujeres,Española,De 15 a 19 años,1 de julio de 2007,Orco
1001861,Mujeres,Española,De 15 a 19 años,1 de enero de 2007,Orco
